DIP编码,DIP名称,权重,DIP住院费用,DIP收入,DIP结余,结余率(%),预计结算点数,入组病例数,高倍率病例数,低倍率病例数,超支病例,服务性收入
G81:ZLXCZ,偏瘫:治疗性操作,2.999,2129594.97,1601576.926,-528018.0439,-0.247942943,141636.4562,99,0,71,91,1324330.64
I20.0:88.5500,不稳定性心绞痛:单根导管的冠状动脉造影术,0.97,4125612.24,3599131.258,-526480.9818,-0.127612813,322144.8704,315,15,0,259,433266.09
G81.9,未特指的偏瘫,1.442,1602224.54,1100375.414,-501849.126,-0.313220222,96255.54754,96,4,43,89,978396.12
I20,,0,489683.94,0,-489683.94,-1,0,60,0,0,60,66654.29
M47,,0,471393.41,0,-471393.41,-1,0,53,0,0,53,88144.53
K63.5:45.4200x003,结肠息肉:纤维结肠镜下结肠息肉切除术,0.703,3598888.96,3153352.056,-445536.9044,-0.123798458,292696.9346,416,3,0,312,987515.82
K31.7:43.4105,胃和十二指肠息肉:内镜下胃息肉切除术,0.732,5114206.23,4690206.224,-424000.0061,-0.082906318,444736.1627,612,7,14,369,1378815.74
I:SS,循环系统疾病:手术操作,7.311,1546862.67,1125468.716,-421393.9537,-0.272418465,86856.57955,12,4,5,12,330123.14
I63.5,大脑动脉未特指的闭塞或狭窄引起的脑梗死,0.919,1884115.57,1464512.143,-419603.4269,-0.22270578,119407.5867,124,15,3,106,296313.28
M48.0:81.0800x016,椎管狭窄:后外侧入路腰椎融合术,4.652,1980311.71,1589923.044,-390388.6656,-0.197134958,130824.2065,26,3,0,25,384280.84
Z51:SS,其他医疗照顾:相关手术,2.975,1758638.66,1391618.988,-367019.6716,-0.208695328,123444.694,33,10,5,29,781240.41
J18.2,未特指的坠积性肺炎,1.309,1232240.18,878496.0512,-353744.1288,-0.287074009,74489.2615,55,7,5,44,488373.09
Z51.1,为肿瘤化学治疗疗程,0.654,1469506.35,1118674.376,-350831.9739,-0.23874138,96089.18642,118,36,3,98,158746.18
I25.1,动脉硬化性心脏病,0.375,953474.21,620792.9551,-332681.2549,-0.348914791,44060.84113,115,2,1,114,124419.91
J44.0,慢性阻塞性肺病伴有急性下呼吸道感染,0.704,1178288.69,845803.6678,-332485.0222,-0.282176198,64638.39249,81,14,2,75,246614.95
G45.9,未特指的短暂性大脑缺血性发作,0.465,1118894.11,796598.4706,-322295.6394,-0.288048383,55885.59363,115,13,7,108,160174.94
D12.6:45.4302,未特指的结肠良性肿瘤:内镜下结肠病损切除术,0.828,3015318.49,2700123.109,-315195.3808,-0.104531373,252805.3842,299,13,1,211,780408.73
E11.7,2型糖尿病伴有多个并发症,0.622,1851672.86,1540421.409,-311251.4506,-0.16809203,131683.2228,232,3,35,177,338519.12
G:ZLXCZ,神经系统疾病:治疗性操作,3.295,1089161.76,804781.7434,-284380.0166,-0.261099891,69015.51945,49,1,38,46,519280.56
I63.2,入脑前动脉未特指的闭塞或狭窄引起的脑梗死,1.06,1487282.33,1205107.33,-282175.0003,-0.189725242,102032.4535,89,10,0,70,267870.84
J18.0,未特指的支气管肺炎,0.312,2337010.54,2066517.289,-270493.2508,-0.115743274,173035.2136,559,13,19,465,724813.02
I63:ZLXCZ,脑梗死:治疗性操作,2.287,1550561.4,1282552.49,-268008.9098,-0.17284637,113380.6867,45,9,5,30,394501.34
D12.3:45.4302,横结肠良性肿瘤:内镜下结肠病损切除术,0.852,4175925.09,3929025.951,-246899.1388,-0.059124418,376497.0876,440,5,0,259,1112468.81
M17.9:81.5400x007,未特指的膝关节病:膝关节双间室置换术,3.547,1743393.39,1498856.694,-244536.6962,-0.140264783,129836.4279,33,6,0,27,348775.22
S32.0:81.6600x002,腰椎骨折:腰椎骨折球囊扩张成形术,2.51,1406770.24,1166697.353,-240072.8867,-0.170655364,107288.4821,41,2,0,39,265328.59
M48.0:81.0800x017,椎管狭窄:后外侧入路腰骶椎融合术,5.122,1440451.36,1201833.858,-238617.5021,-0.165654675,102440,20,0,0,19,289884.68
I50.9,未特指的心力衰竭,0.626,1333234.81,1096002.582,-237232.2276,-0.177937319,86494.2321,92,15,4,69,368322.9
K63.5:45.4307,结肠息肉:内镜下结肠黏膜切除术(EMR),0.806,1837852.82,1610929.652,-226923.1677,-0.123471894,147557.0889,184,1,3,144,458731.57
D12.6:45.4307,未特指的结肠良性肿瘤:内镜下结肠黏膜切除术(EMR),0.852,1718539.7,1492049.759,-226489.9411,-0.131792091,137650.4995,158,5,0,120,426670.34
M80.8:81.6600x003,其他的骨质疏松伴有病理性骨折:胸椎骨折球囊扩张成形术,2.751,1703722.89,1480210.577,-223512.3133,-0.131190533,137550,50,0,0,42,307658.21
E11.5,2型糖尿病伴有周围循环并发症,0.681,3031983.03,2815784.37,-216198.6596,-0.071306026,268813.8663,412,0,30,254,498823.98
Z:ZLXCZ,影响健康状态和与保健机构接触的因素:治疗性操作,1.155,668987.5,460921.1767,-208066.3233,-0.311016758,34513.47822,35,6,11,32,494219.37
M43.0:81.0800x016,脊椎骨脱离:后外侧入路腰椎融合术,4.409,1051933.44,844529.6422,-207403.7978,-0.197164374,67005.59712,13,4,0,13,231493.06
I63.1,入脑前动脉栓塞引起的脑梗死,0.594,572552.8,365494.1,-207058.7,-0.361641232,21402.9508,35,4,1,35,95491.28
S72.1:79.1500x006,经大转子骨折:股骨骨折闭合复位髓内针内固定术,2.677,1301571.22,1100293.794,-201277.4263,-0.154641885,81119.21918,28,4,0,25,298309.65
K29.4:44.1401,慢性萎缩性胃炎:胃镜下活组织检查,0.692,4787712.15,4588634.961,-199077.1894,-0.04158086,446260.4746,647,6,7,334,1045852.27
G20.X,帕金森病,0.62,766792.95,571978.536,-194814.414,-0.254063909,44872.85197,66,17,2,57,154755.52
K56.7,未特指的肠梗阻,0.404,656861.42,463206.7812,-193654.6388,-0.294818105,33917.57914,89,11,20,85,96844.38
M51.1:81.0800x016,腰和其他椎间盘疾患伴有神经根病:后外侧入路腰椎融合术,4.329,936412.63,743162.2016,-193250.4284,-0.206373155,57171.8275,12,5,0,12,265102.9
I63.3,大脑动脉血栓形成引起的脑梗死,0.836,815393.07,624527.5439,-190865.5261,-0.234077935,49739.83163,57,8,1,50,135331.73
D12.2:45.4302,升结肠良性肿瘤:内镜下结肠病损切除术,0.868,2291243.31,2101724.477,-189518.8333,-0.082714408,197979.4111,227,8,4,136,573350.15
I71:SS,主动脉瘤和主动脉夹层:相关手术,15.849,955368.8,766950.5859,-188418.2141,-0.197220397,66062.70018,5,0,1,5,327514.73
C:ZLXCZ,肿瘤:治疗性操作,2.493,1029443.09,847887.4648,-181555.6252,-0.176362955,65748.82762,19,3,6,16,446927.05
J15:ZLXCZ,"细菌性肺炎,不可归类在他处者:治疗性操作",4.698,1281552.32,1101221.92,-180330.3998,-0.140712476,98832.54007,20,3,8,12,399140.78
K29.5,未特指的慢性胃炎,0.324,683685.57,504238.2146,-179447.3554,-0.262470591,37031.387,120,5,13,113,122330.9
I:ZLXCZ,循环系统疾病:治疗性操作,2.41,1673579.29,1504990.715,-168588.575,-0.100735338,108034.2064,17,2,5,13,712659.07
I63.2:00.6400x009,入脑前动脉未特指的闭塞或狭窄引起的脑梗死:经皮椎动脉支架置入术,6.401,870450.56,708381.1192,-162069.4408,-0.186190288,58172.65882,7,3,0,7,285932.9
G51.8,面神经的其他疾患,0.459,597764.67,441689.3872,-156075.2828,-0.261098206,31948.23938,59,9,6,54,158011.5
K85.9,未特指的急性胰腺炎,0.784,620220.01,464299.0573,-155920.9527,-0.251396199,33923.56101,43,4,2,39,86875.5
C71:SS,脑恶性肿瘤:相关手术,7.769,751446.23,597232.8622,-154213.3678,-0.205222093,53994.20365,5,3,1,3,288136.52
Z51.1:41.3800x001,为肿瘤化学治疗疗程:骨髓穿刺术,1.953,786933.81,633243.1596,-153690.6504,-0.195303148,55463.48195,20,6,2,16,258002.77
G44.0,丛集性头痛综合征,0.469,709125.48,556755.4122,-152370.0678,-0.214870389,45830.37272,100,7,8,83,95465.42
J47.X,支气管扩张(症),0.618,588735.16,439039.1292,-149696.0308,-0.254267183,34851.2836,56,5,5,50,113774.72
N84.0:68.2915,子宫体息肉:宫腔镜子宫内膜病损切除术,0.848,1355324.16,1206576.39,-148747.7697,-0.109750696,107945.547,126,2,0,103,470187.46
M51.2:03.0915,其他特指的椎间盘移位:椎间盘镜下椎间孔切开术,2.405,1101572.6,953031.5343,-148541.0657,-0.134844554,81735.13047,32,3,0,24,213824.77
I63:SS,脑梗死:相关手术,7.324,829999.54,683813.7814,-146185.7586,-0.176127518,56612.06241,9,2,3,6,142517.09
I21:ZLXCZ,急性心肌梗死:治疗性操作,3.45,364889.58,218808.6308,-146080.9492,-0.400342891,18101.25368,5,2,1,5,136489.85
M51.2,其他特指的椎间盘移位,0.392,460665.28,315059.1437,-145606.1363,-0.316077948,23705.01225,58,7,4,53,86880.97
N18.5,慢性肾脏疾病，5期,0.864,765801.36,621671.264,-144130.096,-0.188208201,56569.77916,49,17,7,38,135793.88
M48.0:81.0801+81.6200,椎管狭窄:腰椎椎体间融合术，后入路+2-3个椎骨融合或再融合,4.737,871889.36,729777.1525,-142112.2075,-0.162993396,58891.74126,12,2,0,11,182431.24
D12.5:45.4301,乙状结肠良性肿瘤:内镜下乙状结肠病损切除术,0.829,1496730.46,1357013.561,-139716.8986,-0.093348069,128005.5069,153,3,0,100,416495.19
G45,,0,138291.75,0,-138291.75,-1,0,4,0,0,4,42325.77
M:SS,肌肉骨骼系统和结缔组织疾病:手术操作,2.916,624103.24,487424.3484,-136678.8916,-0.219000452,38653.17807,18,1,8,15,137795.6
J44.1,未特指的慢性阻塞性肺病伴有急性加重,0.6,489311.81,353372.3802,-135939.4298,-0.277817594,26183.62529,43,3,3,40,105775.44
J18.9,未特指的肺炎,0.405,468539.41,333134.6953,-135404.7147,-0.288993224,18851.14327,31,8,3,29,163864.22
K62.1:48.3602,直肠息肉:直肠-乙状结肠镜下直肠息肉切除术,0.72,1702595.2,1568403.996,-134191.2036,-0.078815683,148193.3333,203,7,0,133,483050.36
I61:SS,脑内出血:相关手术,8.641,587192.26,453852.6179,-133339.6421,-0.22708004,37848.98703,6,1,3,5,168107.03
M51.1:80.5900x001,腰和其他椎间盘疾患伴有神经根病:椎间盘射频消融术,0.771,724371.8,591800.2962,-132571.5038,-0.183015827,49270.63439,45,14,0,43,255236.97
I20.0:36.1200+36.1500,不稳定性心绞痛:二根冠状动脉的(主动脉)冠状动脉旁路移植+单乳房内动脉-冠状动脉旁路移植,13.493,1145031.02,1013795.861,-131235.1593,-0.114612755,94451,7,0,0,5,354261.02
H81.1,良性阵发性眩晕,0.436,703928.99,573066.9879,-130862.0021,-0.185902277,47558.0704,117,10,22,94,108287.26
J45.9,未特指的哮喘,0.508,363630.89,234787.4571,-128843.4329,-0.354324774,17002.86574,35,6,4,33,76215.62
H81.3,其他周围性眩晕,0.528,780776.61,655796.9022,-124979.7078,-0.160071019,58851.87641,101,23,4,72,119039.56
J42.X,未特指的慢性支气管炎,0.332,293077.94,168551.7412,-124526.1988,-0.424891068,10385.11226,31,4,1,31,50403.7
G82.5,未特指的四肢瘫痪,1.988,602952.99,484523.1771,-118429.8129,-0.196416329,46349.46272,32,1,12,24,409940.32
M51.2:81.0800x016,其他特指的椎间盘移位:后外侧入路腰椎融合术,4.785,1103403.98,986455.6792,-116948.3008,-0.105988652,85338.45183,17,1,0,14,213103.19
I63.8,其他脑梗死,0.397,370229.79,256611.9614,-113617.8286,-0.306884621,15897.75568,33,5,2,31,101233.86
G90.9,未特指的自主神经系统疾患,0.623,450386.89,338471.172,-111915.718,-0.248487957,26119.83653,40,5,1,36,97082.76
N40:SS,前列腺增生:相关手术,2.171,840047.46,729065.5397,-110981.9203,-0.132113869,68816.84054,31,1,0,29,361529.71
N28.1:55.0106,肾囊肿:腹腔镜下肾囊肿去顶术,1.702,557730.87,446782.7699,-110948.1001,-0.198927666,35650.21551,20,4,0,19,151994.43
C18:ZLXCZ,结肠恶性肿瘤:治疗性操作,1.926,431277.71,320584.1176,-110693.5924,-0.256664302,26258.76943,10,4,0,8,146340.39
I63.0,入脑前动脉血栓形成引起的脑梗死,0.765,334837.52,227162.4228,-107675.0972,-0.321574169,17859.86232,20,4,2,18,62482.29
Z51.0:92.3101,放射治疗疗程:直线加速器放射治疗,3.683,596717.44,491186.2884,-105531.1516,-0.176852803,27963.84631,7,1,0,7,570810.19
S72.0:81.5201,股骨颈骨折:人工股骨头置换术,2.848,700700.67,596515.9855,-104184.6845,-0.148686435,53120.84629,16,2,0,14,187873.8
N39.0,部位未特指的泌尿道感染,0.357,388358.1,284905.3023,-103452.7977,-0.266385065,21239.44319,48,8,7,42,116668.84
I20.0:88.5701,不稳定性心绞痛:多根导管冠状动脉造影,1.043,1496752.42,1393390.966,-103361.4537,-0.069057148,132400.4084,126,3,0,82,156921.16
M17.0:81.5400x007,原发性双侧膝关节病:膝关节双间室置换术,4.066,1317287.29,1214986.336,-102300.9543,-0.077660321,117566.3379,28,2,0,16,362298.76
R57:ZLXCZ,休克，不可归类在他处者:治疗性操作,4.945,276584.3,174285.4931,-102298.8069,-0.369864837,15278.18653,3,1,0,2,182361.68
S22.0:81.6600x003,胸椎骨折:胸椎骨折球囊扩张成形术,2.461,646459.88,544529.9673,-101929.9127,-0.157673996,49587.16175,20,1,0,18,148492.33
I63.2:00.6301,入脑前动脉未特指的闭塞或狭窄引起的脑梗死:脑保护伞下颈动脉支架置入术,6.466,531636.01,430234.872,-101401.138,-0.190734142,32940.69112,4,2,0,4,129512.2
I61.9,未特指的脑内出血,1.268,347077.74,246351.8848,-100725.8552,-0.290211222,18588.61601,16,1,4,15,97011.51
I20.0:00.6601,不稳定性心绞痛:经皮冠状动脉药物球囊血管内成形术,3.828,431979.24,331376.0398,-100603.2002,-0.23288897,28822.39318,7,2,0,6,179181.55
C18:SS,结肠恶性肿瘤:相关手术,5.296,641298.53,542359.5617,-98938.96833,-0.154279113,48690.56415,18,0,12,16,145664.06
M47:SS,脊椎关节强硬:相关手术,3.251,1738164.06,1641192.39,-96971.67021,-0.055789711,151694.5815,53,7,18,19,489610.93
M51.2:80.5900x001,其他特指的椎间盘移位:椎间盘射频消融术,0.672,285446.9,190458.2649,-94988.63508,-0.332771647,12417.57495,19,1,1,19,117415.54
N18.5:39.9500,慢性肾脏疾病，5期:血液透析,1.068,622343.63,527917.001,-94426.62901,-0.151727477,50477.50861,40,9,7,26,197513.82
K64.8:49.4901,其他特指的痔疮:痔上直肠黏膜环形切除吻合术（PPH术）,0.807,500941.75,408887.7514,-92053.99862,-0.183761882,32857.17182,34,9,0,32,123463.46
K31.7:43.4105+45.4201,胃和十二指肠息肉:内镜下胃息肉切除术+内镜下乙状结肠息肉切除术,0.813,952883.14,861569.2812,-91313.85884,-0.095829021,78355.56596,95,2,0,69,287652.97
D12.3:45.4307,横结肠良性肿瘤:内镜下结肠黏膜切除术(EMR),0.881,831842.14,741026.5568,-90815.58325,-0.10917406,70373.63575,80,3,1,60,215588.01
A:ZLXCZ,某些传染病和寄生虫病:治疗性操作,3.859,189036.61,98250.76104,-90785.84896,-0.48025538,8066.400689,2,2,0,2,175721.1
C16:ZLXCZ,胃恶性肿瘤:治疗性操作,2.163,625703.97,535490.768,-90213.20196,-0.144178727,42794.13829,13,2,2,10,274650.67
G43.9,未特指的偏头痛,0.478,310204.54,220248.4875,-89956.05246,-0.289989478,16835.1597,33,6,2,31,55241.8
M06.9,未特指的类风湿性关节炎,0.624,451864.12,362249.271,-89614.84904,-0.19832256,28279.10498,49,2,9,42,103845.33
C:ZDXCZ,肿瘤:诊断性操作,1.573,490947.45,401437.3863,-89510.06369,-0.182321069,33060.29815,17,3,7,14,151781
S06.5:01.2408,创伤性硬膜下出血:颅内血肿清除术,5.794,398775.04,309478.0527,-89296.98729,-0.223928226,26390.37415,2,1,0,2,446847.52
M43.0:81.0800x017,脊椎骨脱离:后外侧入路腰骶椎融合术,4.824,430814.24,341660.9228,-89153.31716,-0.206941435,25025.28228,5,1,0,5,159027.76
J96:ZLXCZ,呼吸衰竭，不可归类在他处者:治疗性操作,3.67,211222.88,122945.0816,-88277.79839,-0.417936724,9076.978464,5,0,4,5,95728.49
I63.2:39.7400x002,入脑前动脉未特指的闭塞或狭窄引起的脑梗死:经皮颅内动脉取栓术,9.057,375022.7,287342.9604,-87679.7396,-0.233798486,19726.63168,2,1,0,2,234225.83
M51.1,腰和其他椎间盘疾患伴有神经根病,0.398,274896.49,187334.3831,-87562.10688,-0.318527555,13935.25228,35,3,4,31,53157.91
J20,,0,87455.05,0,-87455.05,-1,0,28,0,0,28,29461.19
K63.5:43.4105,结肠息肉:内镜下胃息肉切除术,0.849,1253809.7,1166421.352,-87388.34826,-0.069698255,110508.3716,130,1,0,82,378296.42
N40.X:60.2100x001,前列腺增生:经尿道前列腺激光切除术[TULIP手术],2.096,481198.58,394231.0774,-86967.50256,-0.180731004,35632,17,0,0,16,225456.14
I50.1,左心室衰竭,0.753,647134.31,562480.2242,-84654.08578,-0.130813781,52716.23045,71,5,5,44,148847.01
H81.9,前庭功能未特指的疾患,0.457,426380.98,341774.7237,-84606.25629,-0.198428777,29402.51376,54,16,1,47,60709.26
Z43:SS,对人工造口的维护:相关手术,3.393,283432.22,199612.2014,-83820.01858,-0.295732146,14962.78255,5,2,2,5,134085.05
D13.1:43.4107,胃良性肿瘤:内镜下胃黏膜下剥离术[ESD],2.572,1963852.08,1880878.817,-82973.26341,-0.042250261,180040,70,0,0,44,582891.83
C34.9,未特指的支气管或肺恶性肿瘤,0.927,296329.13,213572.2942,-82756.83578,-0.279273373,17767.58996,17,4,8,16,135311.56
M51.2:81.0801,其他特指的椎间盘移位:腰椎椎体间融合术，后入路,4.134,467380.51,384982.0773,-82398.43268,-0.176298393,31793.39738,7,2,0,6,128934.31
C24:SS,胆道其他和未特指部位的恶性肿瘤:相关手术,6.208,458068.14,376424.0696,-81644.07039,-0.178235645,31040,5,0,0,5,183859.11
C34:ZLXCZ,支气管和肺恶性肿瘤:治疗性操作,2.84,799739.59,718258.3173,-81481.27268,-0.101884756,54247.85641,13,3,1,11,415998.74
K35.8,其他和未特指的急性阑尾炎,0.307,273571.97,192574.2266,-80997.7434,-0.296074716,13329.21945,43,6,3,40,57967.16
I63:ZDXCZ,脑梗死:诊断性操作,1.867,450614.48,369692.5916,-80921.8884,-0.179581199,33491.01931,16,2,2,10,118143.9
M43.0:81.0801,脊椎骨脱离:腰椎椎体间融合术，后入路,3.818,382989.16,303073.3364,-79915.82359,-0.208663409,23652.65008,4,3,0,4,129034.34
D12.5:45.4307,乙状结肠良性肿瘤:内镜下结肠黏膜切除术(EMR),0.87,696196.33,616588.4375,-79607.8925,-0.114346901,57904.34086,65,4,1,47,177830.28
J03.9,未特指的急性扁桃体炎,0.193,490540.52,411018.7796,-79521.74036,-0.162110442,29527.51897,149,9,1,135,148054.33
D12.8:48.3600x002,直肠良性肿瘤:内镜下直肠病损切除术,0.78,770581.08,691195.4558,-79385.62416,-0.103020469,64039.47179,82,1,0,62,227425.81
Q21:SS,心间隔先天性畸形:相关手术,6.469,554377.03,475290.6188,-79086.41123,-0.142658168,43972.96273,6,1,0,5,259184.9
S32.0:03.5305,腰椎骨折:腰椎骨折切开复位内固定术,4.145,441743.09,363386.9478,-78356.14223,-0.177379441,30732.92847,7,1,0,6,118697.39
K92.2,未特指的胃肠出血,0.727,458406.06,380281.8916,-78124.16841,-0.170425689,28478.51332,27,4,5,21,156896.27
M47.2:81.0200x001,其他的脊椎关节强硬伴有神经根病:前入路颈椎融合术,3.45,465984.64,388011.9979,-77972.64213,-0.167328782,32839.84743,8,2,0,8,170551.75
C16.9,未特指的胃恶性肿瘤,0.7,325160.72,247494.6163,-77666.10369,-0.238854508,18293.03963,16,4,3,14,133950.76
J18.9:96.0400,未特指的肺炎:气管内插管,5.42,303615.65,226502.2283,-77113.42175,-0.253983685,21680,4,0,0,2,132710.19
I20.0:36.1000x001,不稳定性心绞痛:主动脉-冠状动脉搭桥术,11.747,601006.11,524708.5411,-76297.5689,-0.126949739,46988,4,0,0,4,258252.4
Q21.1:35.7100x009,房间隔缺损:房间隔缺损修补术,5.964,539168.33,463360.7439,-75807.58608,-0.140600962,42465.0015,7,1,0,4,194076.87
M47.1:81.0200x001,其他的脊椎关节强硬伴有脊髓病:前入路颈椎融合术,3.593,423969.79,348232.0955,-75737.69446,-0.178639366,28744,8,0,0,8,116792.12
S82:SS,小腿（包括踝)骨折:相关手术,2.549,492111.17,417838.1193,-74273.05065,-0.150927382,33137,13,0,0,11,122521.84
N10.X,急性肾小管-间质肾炎,0.544,648791.31,574628.2469,-74163.06313,-0.114309582,54531.73802,99,9,6,54,127682.81
R57.2:96.0400,脓毒性休克:气管内插管,3.731,178411.4,104447.5581,-73963.8419,-0.414569035,9048.555284,3,1,2,3,209039.55
C20:ZLXCZ,直肠恶性肿瘤:治疗性操作,2.361,270072.55,196156.1631,-73916.38689,-0.273690854,14007.76183,5,1,0,5,155890.03
E11:SS,2型糖尿病:相关手术,2.335,568081.21,494240.0285,-73841.18147,-0.129983496,37334.82753,18,1,8,13,170654.01
J84.9,未特指的间质性肺病,0.776,293034.48,219725.5137,-73308.96627,-0.25017181,18771.73597,21,3,0,15,68316.95
D12.5:45.4302,乙状结肠良性肿瘤:内镜下结肠病损切除术,0.839,978251.94,905122.0764,-73129.86361,-0.074755654,86450.33651,103,1,0,63,263280.99
N48.1:64.0x00,龟头包皮炎:包皮环切术,0.367,526207.87,453680.9946,-72526.87542,-0.137829325,35692.67458,92,9,0,85,143466.96
E11.2,非胰岛素依赖型糖尿病伴有肾的并发症,0.707,477264.41,404858.246,-72406.16398,-0.151710797,36752.04736,49,5,3,35,105541.41
M46:SS,其他炎性脊椎病:相关手术,3.667,248794.05,176630.4379,-72163.61206,-0.290053609,14747.36447,3,1,0,3,118203.54
C34.1:32.4100,上叶，支气管或肺的恶性肿瘤:胸腔镜下肺叶切除术,4.715,563661.08,491950.7194,-71710.36059,-0.12722248,42435,9,0,0,9,155257.38
D12.4:45.4307,降结肠良性肿瘤:内镜下结肠黏膜切除术(EMR),0.862,558264.96,486680.8743,-71584.08574,-0.128226005,44943.37918,50,5,1,37,148296.17
M80.8:81.6600x002,其他的骨质疏松伴有病理性骨折:腰椎骨折球囊扩张成形术,2.69,832367.93,761216.3737,-71151.55626,-0.085480896,72630,27,0,0,20,142895.51
E:SS,内分泌、营养和代谢疾病:手术操作,2.336,342391.41,272263.2159,-70128.19407,-0.204818789,20570.13569,11,1,4,11,87309.39
C20.X:48.6302,直肠恶性肿瘤:腹腔镜下直肠前切除术,6.002,411089.42,341384.3433,-69705.07675,-0.169561836,30058.2695,5,1,0,5,127854.77
H91.2,突发特发性听觉丧失,0.533,742137.67,673560.3482,-68577.3218,-0.092405122,62768.58137,130,2,20,80,250742.39
G45.0:88.4100,椎基底动脉综合征:脑动脉造影术,1.413,565292.46,497670.1494,-67622.31064,-0.119623585,42246.87508,21,1,0,19,116910.93
I61.1:01.3900x009,大脑半球的脑内出血，皮质的:脑内血肿清除术,6.247,245398.43,178390.9649,-67007.46506,-0.273055802,14243.36918,2,1,0,2,216556.39
M80.8:81.6600x001,其他的骨质疏松伴有病理性骨折:经皮穿刺脊柱后凸成形术,2.492,525634.24,459151.8848,-66482.35522,-0.12648026,43534.2908,17,1,0,13,114954.44
E04.2:06.3900x012,非毒性多结节性甲状腺肿:双侧甲状腺部分切除术,1.171,335283.02,268847.6649,-66435.35512,-0.198147091,22939.2607,19,3,0,19,141204.72
C73.X:06.2x02,甲状腺恶性肿瘤:单侧甲状腺切除伴甲状腺峡部切除术,1.736,394606.37,328822.08,-65784.29001,-0.166708637,29554.77534,17,1,0,15,139341.29
I63.9:88.4100,未特指的脑梗死:脑动脉造影术,1.808,485532.25,421084.98,-64447.26999,-0.132735302,35785.70563,13,1,0,11,105924.32
C24:ZLXCZ,胆道其他和未特指部位的恶性肿瘤:治疗性操作,3.19,331108.71,267466.3028,-63642.40724,-0.192210006,20251.86078,7,1,1,6,179572.64
K63.5:45.4302,结肠息肉:内镜下结肠病损切除术,0.691,387654.15,324282.4838,-63371.66624,-0.163474753,29022,42,0,0,37,112804.44
C25.9,未特指的胰恶性肿瘤,0.982,252282.26,189004.4094,-63277.85059,-0.250821642,16062.0879,14,4,3,12,86535.03
N40.X,前列腺增生,0.463,281601.59,218504.8089,-63096.78107,-0.224064009,16759.18834,28,3,0,27,53221.86
S42.0:79.3900x051,锁骨骨折:锁骨骨折切开复位钢板内固定术,1.483,410186.18,347138.9642,-63047.21578,-0.153703901,28812.64173,19,1,0,17,90917
I71.0:39.7303,主动脉夹层[任何部分]:胸主动脉覆膜支架腔内隔绝术,12.888,351717.29,288839.4439,-62877.84611,-0.178773827,25776,2,0,0,2,174087.88
S52.5:79.3200x011,桡骨下端骨折:桡骨骨折切开复位钢板内固定术,1.772,529063.13,466827.8547,-62235.2753,-0.117632985,40756,23,0,0,18,104326.08
I63.5:00.6200x005+39.7400x002,大脑动脉未特指的闭塞或狭窄引起的脑梗死:经皮大脑中动脉球囊扩张成形术+经皮颅内动脉取栓术,10.289,520785.82,458699.1978,-62086.62225,-0.11921719,30867,3,0,0,3,218398.52
J15.7,肺炎支原体性肺炎,0.369,779737.85,717653.8151,-62084.03493,-0.079621677,66612.95564,177,14,6,116,238617.48
